-190,-5274
-1343,2870
-1360,-4053
-5240,-3137
9915,4338
-3928,5692
-1699,-7678
-6935,4635
-4293,-9338
-3278,8838
-9612,-4856
-3582,-9755
-5286,-6117
-3717,-5573
-2564,-8734
-3428,-2255
-5706,6079
-442,2358
1455,4597
7018,2753
-5090,-3315
-8856,910
6795,-7197
-7045,-9547
8918,-7126
4967,4159
-8444,8273
1867,8496
-6773,-5446
1088,-1315
-554,2535
4365,-6322
5054,5929
4154,2511
-1221,-8602
5435,-5975
661,8619
2621,4912
729,5353
6496,-8882
-1613,-5292
-8672,7152
5149,-101
-5073,8035
-6892,3594
1495,992
-407,3697
-6848,8433
-1878,3976
-8730,342
9087,-8298
-9128,-751
-4130,5807
7274,-6886
7568,-8696
-10000,-7782
-9622,-9768
6367,9014
-8827,8742
3128,6622
3501,5448
5233,380
7042,-5926
6551,-9864
94,7378
-7152,3812
-7236,23
6974,-7528
7891,9208
5909,3826
-6434,2018
5088,9100
5964,9188
-752,-7079
6973,7071
-3904,-8029
-1402,4255
-9880,9141
-3533,2626
-9343,4577
-1007,9499
-4468,7139
6027,5341
8170,607
896,8015
-5747,-297
-1678,-7768
1142,-8411
1979,-761
-555,-51
-8791,-8649
7321,5643
3232,-8829
8017,6881
-1873,-3856
7911,-816
-8991,-3779
2106,-5834
-2416,-6877
2528,-9433
